How do you delete a line in Sublime?, Command + X ,5
How do you select a word in Sublime?, Command + D,5
How do you redo or repeat an action in Sublime?, Command + Y,5
How do you duplicate a line in Sublime?, Command+ Shift+ D,5
How do you toggle a side bar in Sublime, Command + K + Command + B,5
How do you jump to a closing or opening parentheses?, Command + M
